"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\laragon\www\equizzy\views\404.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\laragon\www\equizzy\views\admin\index.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\laragon\www\equizzy\views\categoryPolls\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\laragon\www\equizzy\views\categoryPolls\list.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\equizzy\views\categoryPolls\pollsByCategory.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\laragon\www\equizzy\views\index.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\laragon\www\equizzy\views\layouts\layout.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"c:\laragon\www\equizzy\views\layouts\layoutAdmin.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\laragon\www\equizzy\views\layouts\layoutLogin.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\laragon\www\equizzy\views\layouts\layoutPolls.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\laragon\www\equizzy\views\login.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\laragon\www\equizzy\views\polls\create.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 6, 69
"c:\laragon\www\equizzy\views\polls\edit.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 12, 82
"c:\laragon\www\equizzy\views\polls\editInfo.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 7, 75
"c:\laragon\www\equizzy\views\polls\list.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 0, 8, 278
"c:\laragon\www\equizzy\views\polls\listMyPolls.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\laragon\www\equizzy\views\principalPages\changePassword.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\laragon\www\equizzy\views\principalPages\profile.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\laragon\www\equizzy\views\publicPolls\answer.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\laragon\www\equizzy\views\publicPolls\respond.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\laragon\www\equizzy\views\register.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 62
"c:\laragon\www\equizzy\views\templates\alerts.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\equizzy\views\templates\navbar.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"Total", "-", 2312, 1251, 1698, 15362, 11, 1778, 82, 504, 1631, 24629
