"filename", "language", "PHP", "JSON", "Markdown", "YAML", "comment", "blank", "total"
"c:\laragon\www\equizzy\vendor\psr\http-message\src\StreamInterface.php", "PHP", -20, 0, 0, 0, -122, -17, -159
"c:\laragon\www\equizzy\vendor\psr\http-message\src\UploadedFileInterface.php", "PHP", -11, 0, 0, 0, -105, -8, -124
"c:\laragon\www\equizzy\vendor\psr\http-message\src\UriInterface.php", "PHP", -21, 0, 0, 0, -286, -17, -324
"c:\laragon\www\equizzy\vendor\ralouphie\getallheaders\README.md", "Markdown", 0, 0, -18, 0, 0, -10, -28
"c:\laragon\www\equizzy\vendor\ralouphie\getallheaders\composer.json", "JSON", 0, -26, 0, 0, 0, -1, -27
"c:\laragon\www\equizzy\vendor\ralouphie\getallheaders\src\getallheaders.php", "PHP", -34, 0, 0, 0, -5, -8, -47
"c:\laragon\www\equizzy\vendor\symfony\polyfill-ctype\Ctype.php", "PHP", -76, 0, 0, 0, -127, -30, -233
"c:\laragon\www\equizzy\vendor\symfony\polyfill-ctype\README.md", "Markdown", 0, 0, -8, 0, 0, -5, -13
"c:\laragon\www\equizzy\vendor\symfony\polyfill-ctype\bootstrap.php", "PHP", -38, 0, 0, 0, -8, -5, -51
"c:\laragon\www\equizzy\vendor\symfony\polyfill-ctype\bootstrap80.php", "PHP", -35, 0, 0, 0, -8, -4, -47
"c:\laragon\www\equizzy\vendor\symfony\polyfill-ctype\composer.json", "JSON", 0, -41, 0, 0, 0, -1, -42
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\Mbstring.php", "PHP", -650, 0, 0, 0, -64, -160, -874
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\README.md", "Markdown", 0, 0, -9, 0, 0, -5, -14
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\Resources\unidata\lowerCase.php", "PHP", -1396, 0, 0, 0, 0, -2, -1398
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\Resources\unidata\titleCaseRegexp.php", "PHP", -2, 0, 0, 0, -1, -3, -6
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\Resources\unidata\upperCase.php", "PHP", -1488, 0, 0, 0, 0, -2, -1490
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\bootstrap.php", "PHP", -131, 0, 0, 0, -8, -9, -148
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\bootstrap80.php", "PHP", -128, 0, 0, 0, -8, -8, -144
"c:\laragon\www\equizzy\vendor\symfony\polyfill-mbstring\composer.json", "JSON", 0, -41, 0, 0, 0, -1, -42
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Php80.php", "PHP", -82, 0, 0, 0, -15, -19, -116
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\PhpToken.php", "PHP", -57, 0, 0, 0, -31, -16, -104
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\README.md", "Markdown", 0, 0, -20, 0, 0, -6, -26
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Resources\stubs\Attribute.php", "PHP", -18, 0, 0, 0, -1, -4, -23
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Resources\stubs\PhpToken.php", "PHP", -6, 0, 0, 0, 0, -2, -8
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Resources\stubs\Stringable.php", "PHP", -7, 0, 0, 0, -3, -2, -12
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Resources\stubs\UnhandledMatchError.php", "PHP", -6, 0, 0, 0, 0, -2, -8
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\Resources\stubs\ValueError.php", "PHP", -6, 0, 0, 0, 0, -2, -8
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\bootstrap.php", "PHP", -29, 0, 0, 0, -8, -6, -43
"c:\laragon\www\equizzy\vendor\symfony\polyfill-php80\composer.json", "JSON", 0, -40, 0, 0, 0, -1, -41
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\composer.json", "JSON", 0, -53, 0, 0, 0, -1, -54
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Dotenv.php", "PHP", -104, 0, 0, 0, -132, -32, -268
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Exception\ExceptionInterface.php", "PHP", -7, 0, 0, 0, -1, -5, -13
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Exception\InvalidEncodingException.php", "PHP", -7, 0, 0, 0, -1, -5, -13
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Exception\InvalidFileException.php", "PHP", -7, 0, 0, 0, -1, -5, -13
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Exception\InvalidPathException.php", "PHP", -7, 0, 0, 0, -1, -5, -13
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Exception\ValidationException.php", "PHP", -7, 0, 0, 0, -1, -5, -13
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Loader\Loader.php", "PHP", -29, 0, 0, 0, -11, -8, -48
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Loader\LoaderInterface.php", "PHP", -8, 0, 0, 0, -8, -5, -21
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Loader\Resolver.php", "PHP", -32, 0, 0, 0, -27, -7, -66
"c:\laragon\www\equizzy\vendor\vlucas\phpdotenv\src\Parser\Entry.php", "PHP", -22, 0, 0, 0, -29, -9, -60
